date,week,start_time,pair_number,plot,treatment,humidity,cloud_cover,temperature_C,wind_min,wind_max,plant,pollinator,sex_queen_worker,num_total_visits,num_unique_observations,observer,notes,date_entered,keep_remove,original_name_entered,,plant,pollinator
10-Jul-17,week_2,15:05,7,7_6,removal,0.323,1,23.5,0.8,1.2,potentilla_gracilis,bombus_bifarius,queen,7,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
10-Jul-17,week_2,15:05,7,7_6,removal,0.323,1,23.5,0.8,1.2,potentilla_gracilis,bombus_bifarius,worker,2,1,rgd,NA,19-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:30,1,1_1,control,0.68,1,16,0,0,potentilla_gracilis,bombus_bifarius,worker,1,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,10:45,1,1_1,control,0.53,0.45,21.4,2.3,3,potentilla_gracilis,bombus_bifarius,worker,3,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,14:45,10,10_5,control,0.36,0.7,23,3.5,8,potentilla_gracilis,bombus_bifarius,worker,8,2,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,9:00,10,10_5,control,0.65,0.85,16.5,1.5,2,helianthella_quinquenervis,bombus_bifarius,worker,12,4,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,15:10,2,2_3,control,0.43,0.85,22.8,2.9,3.7,potentilla_gracilis,bombus_bifarius,worker,10,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,9:55,2,2_3,control,0.54,0.75,20.7,1.5,3,helianthella_quinquenervis,bombus_bifarius,worker,13,3,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:00,2,2_3,control,0.446,0.45,23.4,1.3,1.6,helianthella_quinquenervis,bombus_bifarius,worker,12,6,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,8:35,3,3_12,control,0.79,0.8,14,1.1,2.3,helianthella_quinquenervis,bombus_bifarius,worker,2,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,9:55,3,3_12,control,0.592,0.35,19.7,1.9,3,helianthella_quinquenervis,bombus_bifarius,worker,18,6,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,13:45,4,4_16,control,0.502,0.65,21,2.8,4.1,helianthella_quinquenervis,bombus_bifarius,worker,9,3,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,10:50,4,4_16,control,0.695,0.9,18.1,1.4,3.1,helianthella_quinquenervis,bombus_bifarius,worker,9,3,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,12:05,4,4_16,control,0.495,0.85,22,2.4,3.8,helianthella_quinquenervis,bombus_bifarius,worker,15,4,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
11-Jul-17,week_2,13:20,5,5_14,control,0.395,0.5,23.7,0.9,2,potentilla_gracilis,bombus_bifarius,worker,8,1,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,10:20,5,5_14,control,0.682,0.9,19,0.8,1.8,helianthella_quinquenervis,bombus_bifarius,worker,10,2,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,10:20,5,5_14,control,0.682,0.9,19,0.8,1.8,potentilla_gracilis,bombus_bifarius,worker,10,1,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:25,5,5_14,control,0.49,0.6,24,2.5,3.4,helianthella_quinquenervis,bombus_bifarius,worker,12,4,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,11:25,5,5_14,control,0.49,0.6,24,2.5,3.4,potentilla_gracilis,bombus_bifarius,worker,11,2,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,11:10,6,6_7,control,0.66,1,16,1.3,2,helianthella_quinquenervis,bombus_bifarius,worker,10,3,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,8:35,6,6_7,control,0.73,0.35,15.3,0,0.7,helianthella_quinquenervis,bombus_bifarius,worker,12,6,rgd,NA,20-Jul-17,keep,bombus_bifarius,,,
12-Jul-17,week_2,9:25,7,7_9,control,0.62,0.75,18,2,2.5,helianthella_quinquenervis,bombus_bifarius,worker,12,2,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
13-Jul-17,week_2,9:10,7,7_9,control,0.693,0.2,15.4,0,0,helianthella_quinquenervis,bombus_bifarius,worker,24,7,jab,NA,20-Jul-17,keep,bombus_bifarius,,,
